First Column,Second Column,Parent Folder Name
Contracts and Revenue Management,Billing Templates.txt,no_permission
Contracts and Revenue Management,Contract Billing Schedule Entries.txt,no_permission
Contracts and Revenue Management,Contract Billing Schedules.txt,no_permission
Contracts and Revenue Management,Contract Expense 2 Schedules.txt,no_permission
Contracts and Revenue Management,Contract Expense Schedules.txt,no_permission
Contracts and Revenue Management,Contract Groups.txt,no_permission
Contracts and Revenue Management,Contract Invoice Policies.txt,no_permission
Contracts and Revenue Management,Contract Invoice Preview Lines.txt,no_permission
Contracts and Revenue Management,Contract Invoice Runs.txt,no_permission
Contracts and Revenue Management,Contract Invoices.txt,no_permission
Contracts and Revenue Management,Contract Line Expenses.txt,no_permission
Contracts and Revenue Management,Contract Lines.txt,no_permission
Contracts and Revenue Management,Contract Revenue 2 Schedules.txt,no_permission
Contracts and Revenue Management,Contract Revenue Schedules.txt,no_permission
Contracts and Revenue Management,Contract Revenue Templates.txt,no_permission
Contracts and Revenue Management,Contract Types.txt,no_permission
Contracts and Revenue Management,Contracts.txt,no_permission
Contracts and Revenue Management,MEA Allocations.txt,no_permission
Contracts and Revenue Management,MEA Price List Entries.txt,no_permission
Contracts and Revenue Management,MEA Price List Entry Lines.txt,no_permission
Contracts and Revenue Management,MEA Price Lists.txt,no_permission
Data Delivery Service,DDS Jobs.txt,no_permission
Employee Expenses,Employee Groups.txt,no_permission
Employee Expenses,Employee Types.txt,no_permission
Employee Expenses,Expense Payment Types.txt,no_permission
Employee Expenses,Expense Types.txt,no_permission
Employee Expenses,Reimbursement Requests.txt,no_permission
Employee Expenses,Reimbursements.txt,no_permission
General Ledger,Account Allocation Groups.txt,no_permission
General Ledger,Recurring Account Allocations.txt,no_permission
General Ledger,Reporting Periods.txt,no_permission
Inventory Control,Aisles.txt,no_permission
Inventory Control,Bin Faces.txt,no_permission
Inventory Control,Bin Sizes.txt,no_permission
Inventory Control,Bins.txt,no_permission
Inventory Control,Inventory Control Price Lists.txt,no_permission
Inventory Control,Inventory Cycle Count Lines.txt,no_permission
Inventory Control,Inventory Cycle Counts.txt,no_permission
Inventory Control,Inventory Transaction Definitions.txt,no_permission
Inventory Control,Inventory Transaction Lines.txt,no_permission
Inventory Control,Inventory Transaction Subtotals.txt,no_permission
Inventory Control,Inventory Transactions.txt,no_permission
Inventory Control,Item Tax Groups.txt,no_permission
Inventory Control,Rows.txt,no_permission
Inventory Control,Warehouse Groups.txt,no_permission
Inventory Control,Warehouse Transfers.txt,no_permission
Inventory Control,Warehouses.txt,no_permission
Inventory Control,Zones.txt,no_permission
Order Entry,Order Entry Price Lists.txt,no_permission
Order Entry,Recurring Order Entry Transactions.txt,no_permission
Project and Resource Management,Earning Types.txt,no_permission
Project and Resource Management,Positions and Skills.txt,no_permission
Project and Resource Management,Project Groups.txt,no_permission
Project and Resource Management,Project Resources.txt,no_permission
Project and Resource Management,Task Resources.txt,no_permission
Project and Resource Management,Tasks.txt,no_permission
Project and Resource Management,Time Types.txt,no_permission
Project and Resource Management,Transaction Rules.txt,no_permission
Purchasing,Purchasing Price Lists.txt,no_permission
Purchasing,Vendor Compliance Definitions.txt,no_permission
Purchasing,Vendor Compliance Records.txt,no_permission
Purchasing,Vendor Compliance Types.txt,no_permission
Sales Tax, VAT, and GST,Tax Solutions.txt,no_permission
